"yield.t.ha.","Phosphorus_ppm"
7.03218,15
8.37897,36
8.30777,14
8.93613,32
8.16857,29
7.11693,31
8.45942,27
8.68691,14
8.35805,14
7.33187,21
6.47022,27
6.59031,54
5.3631,54
4.91376,31
8.1416,23
8.14766,22
9.05337,14
6.71198,38
7.07212,42
7.69006,22
7.79534,35
7.49212,35
6.64323,26
10.1438,31
9.58637,26
5.04089,22
9.91683,39
8.90294,37
8.76857,32
8.65049,26
9.33212,35
9.48052,41
9.72413,26
8.88518,53
8.80428,24
3.29994,49
9.8681,31
3.60787,49
9.38627,46
9.10552,36
7.99682,89
6.98507,27
5.59865,43
9.07409,76
8.96372,51
4.61473,49
6.42739,18
8.0837,39
9.92832,47
9.81876,32
9.16747,50
8.93446,54
8.02326,32
8.76311,54
8.26901,56
7.69544,50
3.72463,24.67
3.08528,20
9.17142,34
8.6944,44
11.6149,12
9.48257,16
10.204,36
9.40771,21
12.3108,8
8.37315,26
12.1911,16
8.50211,27
10.329,10
10.3493,30
9.85556,21
10.8579,17
12.8539,13
9.89289,13
9.61442,12
9.21815,17
10.8923,17
8.79564,36
11.7789,22
13.1238,22.5
9.93968,10
10.1384,15
10.658,11
8.71579,27
10.8526,9
10.3233,15
9.40016,10
10.9241,15
10.4489,17
11.1269,7.5
11.122,16
10.9575,15
9.51724,14
10.7488,18
10.4894,11
9.07081,35
8.59729,27
11.7084,16
12.3608,13
10.3262,15
11.3928,34
8.48937,27
9.18349,28
9.70431,17
10.3944,20
11.8784,20
9.59703,21
10.9911,13
11.0002,24
10.1744,23
10.0304,15
9.26448,18
11.0511,26
10.3543,16
8.91574,15
12.6879,41
10.2847,12
10.5302,16
7.90778,16
13.0698,25
13.7862,27
12.8973,39
10.3232,15
13.3562,31
11.2597,14
9.82398,16
9.54761,14
8.27193,21
8.3789,12
9.33628,52
8.2572,15
10.2242,18
8.18081,16
11.2481,21
7.58622,15
13.3171,26
10.247,17
11.5695,19
10.2197,17
11.2593,18
10.9558,39
6.63067,15
10.2212,25.5
10.9813,59.5
11.6167,20
8.52095,21
10.9579,19
11.0466,18
10.9922,18
8.5181,15
7.51113,15
10.916,18
10.4209,22
11.4287,59
11.8726,57
10.2738,26
12.4218,32
10.8899,59
10.5621,53
10.7999,29
13.0954,28
8.80682,17
11.447,23.6
10.0415,20
0.609694,19
10.6616,14
11.6384,30
12.6401,37
9.60971,35
9.61008,33
8.17857,33
7.92353,18
9.80143,18
9.58022,35
11.9903,15
11.2844,11
9.9123,13
12.2144,40
8.907,23
7.03871,13
9.96587,15
9.96738,26
10.7163,12
9.6279,16
10.9885,16
11.1225,20
10.2735,22
8.09369,22
10.1569,12
10.4722,15
7.55064,14
9.3852,8
10.3949,12
10.345,8
11.0306,15
9.20995,8
9.02664,26
10.8917,13
10.0426,17
9.59493,23
9.21116,17
10.0407,55
9.96102,19
